image_name,true_count,predicted_count,error,abs_error,n_valid,n_partial,n_oversized,processing_time,best_filter,scored_best_filter,threshold_method,cluster_method,kmeans_score,dbscan_score,mask_sum
57.jpg,57,29,-28,28,29,0,0,32.051,gaussian,median,adaptive,kmeans,81.488,51.0,219773025
58.jpg,58,31,-27,27,31,0,0,33.18,gaussian,median,adaptive,kmeans,82.897,56.0,219216870
59.jpg,59,31,-28,28,31,0,0,33.368,gaussian,median,adaptive,kmeans,84.471,58.0,236688450
60.jpg,60,31,-29,29,31,0,0,33.896,gaussian,median,adaptive,kmeans,85.907,61.0,232336365
61.jpg,61,35,-26,26,35,0,0,33.838,gaussian,median,adaptive,kmeans,87.152,60.0,229968690
62.jpg,62,36,-26,26,36,0,0,34.188,gaussian,median,adaptive,kmeans,90.928,60.0,241674210
63.jpg,63,36,-27,27,36,0,0,33.576,gaussian,median,adaptive,kmeans,91.188,63.0,255601800
64.jpg,64,34,-30,30,34,0,0,33.979,gaussian,median,adaptive,kmeans,95.439,63.0,248367450
65.jpg,65,37,-28,28,37,0,0,34.135,gaussian,median,adaptive,kmeans,97.453,66.0,261238830
67.jpg,67,38,-29,29,38,0,0,34.285,gaussian,median,adaptive,kmeans,98.093,67.0,294138420
68.jpg,68,38,-30,30,38,0,0,34.264,gaussian,median,adaptive,kmeans,100.516,69.0,300329310
69.jpg,69,39,-30,30,39,0,0,34.887,gaussian,median,adaptive,kmeans,101.987,71.0,307211505
70.jpg,70,44,-26,26,36,0,1,34.794,gaussian,median,adaptive,kmeans,99.487,70.0,290618910
71.jpg,71,44,-27,27,36,0,1,34.995,gaussian,median,adaptive,kmeans,101.863,64.0,300860475
72.jpg,72,45,-27,27,37,0,1,35.197,gaussian,median,adaptive,kmeans,102.845,68.0,294051210
73.jpg,73,44,-29,29,36,0,1,35.083,gaussian,median,adaptive,kmeans,104.733,71.0,305146770
74.jpg,74,19,-55,55,19,0,0,35.312,gaussian,median,adaptive,kmeans,105.356,71.0,173343390
75.jpg,75,22,-53,53,22,0,0,34.82,gaussian,median,adaptive,kmeans,105.237,72.208,170906610
76.jpg,76,23,-53,53,23,0,0,34.62,gaussian,median,adaptive,kmeans,105.145,71.903,181711215
77.jpg,77,25,-52,52,25,0,0,35.123,gaussian,median,adaptive,kmeans,107.15,72.78,194378595
78.jpg,78,27,-51,51,27,0,0,35.281,gaussian,median,adaptive,kmeans,105.703,70.0,196225050
79.jpg,79,23,-56,56,23,0,0,35.537,gaussian,median,adaptive,kmeans,109.485,73.782,191192115
80.jpg,80,37,-43,43,37,1,0,35.085,gaussian,median,adaptive,kmeans,108.577,72.986,324185580
81.jpg,81,46,-35,35,39,1,1,34.953,gaussian,median,adaptive,kmeans,112.503,73.932,333168720
82.jpg,82,44,-38,38,38,1,1,34.984,gaussian,median,adaptive,kmeans,113.719,73.484,335233455
83.jpg,83,43,-40,40,37,1,1,36.004,gaussian,median,adaptive,kmeans,115.53,74.438,340240125
84.jpg,84,39,-45,45,39,1,0,35.903,gaussian,median,adaptive,kmeans,115.883,74.274,346147455
85.jpg,85,43,-42,42,35,0,1,35.889,gaussian,median,adaptive,kmeans,117.256,75.373,359336055
86.jpg,86,47,-39,39,38,0,1,35.671,gaussian,median,adaptive,kmeans,119.017,74.799,365252565
87.jpg,87,45,-42,42,36,0,1,35.936,gaussian,median,adaptive,kmeans,119.486,75.268,361748610
88.jpg,88,46,-42,42,37,0,1,35.981,gaussian,median,adaptive,kmeans,120.434,75.842,366305970
89.jpg,89,54,-35,35,39,0,2,35.064,gaussian,median,adaptive,kmeans,122.136,75.527,340349265
90.jpg,90,44,-46,46,37,0,1,35.549,gaussian,median,adaptive,kmeans,123.06,76.001,333411990
91.jpg,91,56,-35,35,40,0,2,35.444,gaussian,median,adaptive,kmeans,123.985,76.749,337425180
92.jpg,92,38,-54,54,38,0,0,35.956,gaussian,median,adaptive,kmeans,127.269,76.998,347781750
93.jpg,93,52,-41,41,35,0,2,35.406,gaussian,median,adaptive,kmeans,126.433,76.517,376386630
94.jpg,94,41,-53,53,32,0,1,36.205,gaussian,median,adaptive,kmeans,121.427,76.529,272656200
95.jpg,95,43,-52,52,34,0,1,35.614,gaussian,median,adaptive,kmeans,122.763,76.263,277398435
96.jpg,96,44,-52,52,35,0,1,36.922,gaussian,median,adaptive,kmeans,123.8,77.031,282855945
97.jpg,97,43,-54,54,34,0,1,36.514,gaussian,median,adaptive,kmeans,125.988,77.024,288981555
98.jpg,98,3,-95,95,3,0,0,29.622,gaussian,median,otsu,kmeans,70.628,58.739,82560075
99.jpg,99,6,-93,93,6,0,0,26.979,gaussian,median,otsu,kmeans,61.603,55.607,70931565
100.jpg,100,7,-93,93,7,0,0,26.262,gaussian,median,otsu,kmeans,61.634,55.779,79579380
101.jpg,101,7,-94,94,7,0,0,27.235,gaussian,median,otsu,kmeans,62.335,56.856,80060055
102.jpg,102,8,-94,94,8,0,0,27.141,gaussian,median,otsu,kmeans,63.205,56.697,85325040
103.jpg,103,8,-95,95,8,0,0,27.334,gaussian,median,otsu,kmeans,64.27,57.7,89326500
104.jpg,104,7,-97,97,7,0,0,27.638,gaussian,median,otsu,kmeans,65.134,57.905,90858285
105.jpg,105,7,-98,98,7,0,0,28.113,gaussian,median,otsu,kmeans,67.2,58.944,100196640
106.jpg,106,7,-99,99,7,0,0,28.413,gaussian,median,otsu,kmeans,67.59,59.381,77655150
107.jpg,107,6,-101,101,6,0,0,28.056,gaussian,median,otsu,kmeans,68.331,59.306,85931175
109.jpg,109,6,-103,103,6,0,0,28.576,gaussian,median,otsu,kmeans,68.289,59.99,91358850
110.jpg,110,9,-101,101,9,0,0,31.317,gaussian,median,otsu,kmeans,83.468,65.584,80300775
111.jpg,111,12,-99,99,12,0,0,31.901,gaussian,median,otsu,kmeans,84.445,65.96,89248980
112.jpg,112,11,-101,101,11,0,0,31.833,gaussian,median,otsu,kmeans,86.225,67.287,100043640
113.jpg,113,12,-101,101,12,0,0,31.852,gaussian,median,otsu,kmeans,87.147,67.806,103586100
114.jpg,114,13,-101,101,13,0,0,32.21,gaussian,median,otsu,kmeans,92.105,69.844,118352640
115.jpg,115,14,-101,101,14,0,0,32.98,gaussian,median,otsu,kmeans,94.844,70.296,122636385
116.jpg,116,14,-102,102,14,0,0,32.283,gaussian,median,otsu,kmeans,94.769,70.166,119547825
